carrier,lat,lon
La Poste,45.9161339,6.09168179
La Poste,46.067489,6.31282
La Poste,49.481698,1.039419
La Poste,48.562222,2.601295
La Poste,48.853794,2.597419
La Poste,44.43177,-0.214282
La Poste,49.0496,2.0091
La Poste,45.153496,5.749568
La Poste,43.639698,6.912659
La Poste,50.614886,3.128892
La Poste,48.414323,3.239949
La Poste,49.874294,2.312756
La Poste,43.193419,6.041383
La Poste,48.816999,2.465436
La Poste,46.1485262,0.29453614
La Poste,48.718292,2.530735
La Poste,47.331214,-1.624005
La Poste,43.619893,6.971363
La Poste,47.435195,-2.089012
La Poste,49.146633,6.818729
La Poste,49.126934,6.194215
La Poste,50.358995,3.286049
La Poste,50.665698,3.126895
La Poste,50.588071,3.050843
La Poste,49.633144,2.294956
La Poste,50.3753497,2.03829974
La Poste,42.696222,3.032687
La Poste,43.106893,6.021844
La Poste,48.636092,2.446802
La Poste,43.418891,5.220058
La Poste,47.242512,5.219914
La Poste,48.777876,-3.044985
La Poste,43.613944,1.083777
La Poste,44.9251888,-0.4879041
La Poste,44.830299,-0.526898
La Poste,48.474757,2.691807
La Poste,43.384493,5.160047
La Poste,50.4775,2.6673
La Poste,45.5973,5.876286
La Poste,49.039928,2.806695
La Poste,46.906321,4.75526736
La Poste,46.309111,4.806074
La Poste,44.8323,-0.6111
La Poste,42.633197,3.032571
La Poste,45.277896,6.343265
La Poste,43.16475,6.042522
La Poste,49.1516456,0.90553347
La Poste,48.905693,2.344349
La Poste,43.5649,7.0158
La Poste,48.812445,3.08398
La Poste,43.452593,1.40109
La Poste,44.681792,-0.527788
La Poste,43.627793,7.09725
La Poste,43.721893,7.152637
La Poste,43.396588,1.262723
La Poste,47.104443,-1.811997
La Poste,48.113102,4.375756
La Poste,50.353058,3.125591
La Poste,43.821996,7.190549
La Poste,48.706758,2.86707
La Poste,43.773094,7.191697
La Poste,43.643694,6.881961
La Poste,50.730997,3.178748
La Poste,43.148793,6.073138
La Poste,43.69555,1.430285
La Poste,48.484659,2.348751
La Poste,50.6423314,3.08757122
La Poste,46.0768525,6.40888279
La Poste,48.993893,2.37278
La Poste,49.829898,3.281029
La Poste,43.353667,3.529378
La Poste,43.344833,-0.262668
La Poste,44.387848,6.653842
La Poste,43.550077,3.779518
La Poste,48.013091,2.73562
La Poste,43.72488,7.27508
La Poste,47.397338,-0.529449
La Poste,47.685599,-0.874232
